iter	Passed	Remaining
0	41	12342
1	90	13423
2	133	13181
3	175	12958
4	216	12775
5	263	12910
6	310	13012
7	357	13057
8	402	12998
9	444	12897
10	505	13277
11	572	13728
12	627	13845
13	675	13791
14	715	13598
15	763	13543
16	808	13453
17	850	13330
18	894	13231
19	938	13132
20	979	13011
21	1018	12871
22	1058	12751
23	1100	12659
24	1140	12548
25	1184	12486
26	1226	12405
27	1270	12341
28	1314	12279
29	1359	12235
30	1402	12172
31	1450	12152
32	1501	12145
33	1555	12169
34	1607	12168
35	1658	12161
36	1708	12146
37	1764	12167
38	1818	12171
39	1872	12173
40	1916	12106
41	1968	12090
42	2009	12011
43	2054	11955
44	2101	11906
45	2145	11846
46	2195	11819
47	2237	11748
48	2280	11681
49	2327	11639
50	2371	11577
51	2413	11508
52	2455	11443
53	2496	11372
54	2538	11307
55	2576	11225
56	2616	11154
57	2654	11077
58	2694	11007
59	2733	10935
60	2774	10871
61	2815	10807
62	2857	10750
63	2902	10701
64	2948	10660
65	2992	10609
66	3032	10546
67	3089	10539
68	3144	10526
69	3192	10489
70	3252	10490
71	3304	10463
72	3352	10424
73	3406	10402
74	3471	10414
75	3512	10351
76	3556	10299
77	3599	10243
78	3638	10179
79	3680	10120
80	3720	10059
81	3755	9984
82	3803	9944
83	3843	9883
84	3883	9821
85	3921	9758
86	3959	9693
87	3996	9628
88	4039	9577
89	4079	9518
90	4121	9465
91	4161	9407
92	4204	9358
93	4246	9305
94	4290	9258
95	4331	9204
96	4370	9146
97	4413	9097
98	4454	9044
99	4496	8992
100	4537	8940
101	4575	8882
102	4616	8829
103	4656	8775
104	4700	8729
105	4741	8678
106	4779	8621
107	4821	8572
108	4864	8523
109	4911	8483
110	4951	8431
111	4993	8381
112	5036	8334
113	5075	8281
114	5115	8228
115	5157	8181
116	5199	8132
117	5238	8080
118	5274	8022
119	5320	7980
120	5367	7940
121	5412	7896
122	5459	7856
123	5506	7815
124	5554	7775
125	5601	7735
126	5648	7694
127	5690	7646
128	5738	7606
129	5779	7558
130	5826	7516
131	5866	7466
132	5907	7417
133	5944	7363
134	5984	7314
135	6029	7270
136	6069	7221
137	6112	7175
138	6153	7127
139	6195	7080
140	6239	7036
141	6283	6991
142	6324	6943
143	6365	6895
144	6400	6842
145	6447	6800
146	6487	6751
147	6524	6700
148	6569	6657
149	6610	6610
150	6652	6564
151	6691	6515
152	6728	6464
153	6766	6415
154	6808	6368
155	6850	6323
156	6893	6278
157	6934	6232
158	6973	6183
159	7014	6137
160	7058	6093
161	7098	6046
162	7143	6003
163	7183	5957
164	7222	5909
165	7260	5861
166	7300	5814
167	7344	5770
168	7390	5729
169	7439	5688
170	7488	5649
171	7530	5604
172	7571	5558
173	7614	5513
174	7653	5466
175	7694	5421
176	7737	5376
177	7777	5330
178	7816	5283
179	7856	5237
180	7897	5192
181	7947	5152
182	7987	5106
183	8030	5062
184	8073	5018
185	8116	4974
186	8161	4931
187	8204	4887
188	8242	4841
189	8283	4795
190	8326	4751
191	8367	4706
192	8403	4659
193	8444	4613
194	8485	4569
195	8525	4523
196	8568	4479
197	8607	4434
198	8647	4388
199	8687	4343
200	8727	4298
201	8764	4252
202	8806	4207
203	8843	4161
204	8884	4117
205	8922	4071
206	8963	4027
207	9006	3983
208	9046	3938
209	9083	3893
210	9127	3849
211	9170	3806
212	9219	3765
213	9268	3724
214	9310	3680
215	9353	3637
216	9401	3595
217	9442	3551
218	9488	3509
219	9533	3466
220	9575	3422
221	9614	3377
222	9661	3335
223	9705	3292
224	9741	3247
225	9778	3201
226	9816	3156
227	9856	3112
228	9901	3069
229	9943	3026
230	9981	2981
231	10039	2942
232	10103	2905
233	10165	2867
234	10215	2825
235	10258	2782
236	10298	2737
237	10341	2693
238	10382	2649
239	10421	2605
240	10465	2562
241	10506	2518
242	10550	2474
243	10593	2431
244	10635	2387
245	10677	2343
246	10720	2300
247	10767	2257
248	10813	2214
249	10852	2170
250	10901	2128
251	10947	2085
252	10987	2041
253	11029	1997
254	11075	1954
255	11121	1911
256	11164	1868
257	11203	1823
258	11246	1780
259	11285	1736
260	11328	1692
261	11372	1649
262	11413	1605
263	11457	1562
264	11498	1518
265	11538	1474
266	11585	1431
267	11629	1388
268	11671	1345
269	11713	1301
270	11761	1258
271	11813	1216
272	11856	1172
273	11914	1130
274	11959	1087
275	12005	1043
276	12049	1000
277	12092	956
278	12135	913
279	12182	870
280	12221	826
281	12265	782
282	12308	739
283	12352	695
284	12393	652
285	12432	608
286	12478	565
287	12527	521
288	12567	478
289	12607	434
290	12655	391
291	12699	347
292	12738	304
293	12776	260
294	12816	217
295	12851	173
296	12891	130
297	12929	86
298	12970	43
299	13007	0
